Time (Hour),Mar 21,Jun 21,Sep 21,Dec 21
12 AM,0.0,0.0,0.0,0.0
1 AM,0.0,0.0,0.0,0.0
2 AM,0.0,0.0,0.0,0.0
3 AM,0.0,0.0,0.0,0.0
4 AM,0.0,0.0,0.0,0.0
5 AM,0.0,0.0,0.0,0.0
6 AM,162.3,162.3,0.0,0.0
7 AM,243.5,162.3,245.3,0.0
8 AM,326.5,243.5,407.6,162.3
9 AM,490.6,326.5,490.6,245.3
10 AM,490.6,407.6,652.9,407.6
11 AM,490.6,490.6,735.9,490.6
12 PM,571.7,490.6,735.9,490.6
1 PM,571.7,407.6,652.9,407.6
2 PM,490.6,326.5,571.7,245.3
3 PM,245.3,243.5,490.6,162.3
4 PM,162.3,162.3,245.3,0.0
5 PM,0.0,162.3,162.3,0.0
6 PM,0.0,0.0,0.0,0.0
7 PM,0.0,0.0,0.0,0.0
8 PM,0.0,0.0,0.0,0.0
9 PM,0.0,0.0,0.0,0.0
10 PM,0.0,0.0,0.0,0.0
11 PM,0.0,0.0,0.0,0.0
