Time (Hour),Mar 21,Jun 21,Sep 21,Dec 21
12 AM,0.0,0.0,0.0,0.0
1 AM,0.0,0.0,0.0,0.0
2 AM,0.0,0.0,0.0,0.0
3 AM,0.0,0.0,0.0,0.0
4 AM,0.0,0.0,0.0,0.0
5 AM,0.0,162.3,0.0,0.0
6 AM,162.3,245.3,0.0,0.0
7 AM,245.3,407.6,243.5,0.0
8 AM,326.5,490.6,326.5,162.3
9 AM,490.6,652.9,490.6,0.0
10 AM,490.6,735.9,571.7,245.3
11 AM,571.7,817.0,652.9,326.5
12 PM,571.7,817.0,652.9,326.5
1 PM,490.6,735.9,571.7,245.3
2 PM,407.6,652.9,490.6,162.3
3 PM,245.3,571.7,407.6,0.0
4 PM,162.3,407.6,243.5,0.0
5 PM,0.0,245.3,0.0,0.0
6 PM,0.0,162.3,0.0,0.0
7 PM,0.0,0.0,0.0,0.0
8 PM,0.0,0.0,0.0,0.0
9 PM,0.0,0.0,0.0,0.0
10 PM,0.0,0.0,0.0,0.0
11 PM,0.0,0.0,0.0,0.0
