Time (Hour),Mar 21,Jun 21,Sep 21,Dec 21
12 AM,0.0,0.0,0.0,0.0
1 AM,0.0,0.0,0.0,0.0
2 AM,0.0,0.0,0.0,0.0
3 AM,0.0,0.0,0.0,0.0
4 AM,0.0,0.0,0.0,0.0
5 AM,0.0,162.3,0.0,0.0
6 AM,162.3,162.3,0.0,0.0
7 AM,326.5,162.3,326.5,0.0
8 AM,407.6,245.3,490.6,326.5
9 AM,490.6,407.6,571.7,407.6
10 AM,571.7,490.6,735.9,652.9
11 AM,652.9,490.6,817.0,735.9
12 PM,652.9,490.6,817.0,735.9
1 PM,652.9,490.6,735.9,571.7
2 PM,490.6,407.6,652.9,407.6
3 PM,326.5,245.3,490.6,0.0
4 PM,0.0,162.3,326.5,0.0
5 PM,0.0,162.3,162.3,0.0
6 PM,0.0,0.0,0.0,0.0
7 PM,0.0,0.0,0.0,0.0
8 PM,0.0,0.0,0.0,0.0
9 PM,0.0,0.0,0.0,0.0
10 PM,0.0,0.0,0.0,0.0
11 PM,0.0,0.0,0.0,0.0
