Time (Hour),Mar 21,Jun 21,Sep 21,Dec 21
12 AM,167.7,167.7,167.7,167.7
1 AM,167.7,167.7,167.7,167.7
2 AM,167.7,167.7,167.7,167.7
3 AM,167.7,167.7,167.7,167.7
4 AM,167.7,167.7,167.7,167.7
5 AM,241.7,241.7,167.7,167.7
6 AM,313.8,241.7,313.8,167.7
7 AM,387.8,313.8,459.9,241.7
8 AM,533.9,0.0,461.7,387.8
9 AM,461.7,533.9,680.0,459.9
10 AM,606.0,461.7,826.1,533.9
11 AM,606.0,461.7,752.1,533.9
12 PM,606.0,533.9,752.1,459.9
1 PM,313.8,313.8,533.9,241.7
2 PM,241.7,241.7,387.8,167.7
3 PM,167.7,241.7,241.7,167.7
4 PM,167.7,167.7,167.7,167.7
5 PM,167.7,167.7,167.7,167.7
6 PM,167.7,167.7,167.7,167.7
7 PM,167.7,167.7,167.7,167.7
8 PM,167.7,167.7,167.7,167.7
9 PM,95.6,95.6,95.6,95.6
10 PM,167.7,0.0,167.7,167.7
11 PM,0.0,0.0,0.0,0.0
